Código IBGE;Municípios;Microrregião;Estado;Região Geográfica;Área Km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensão Educação;IDH - Dimensão Longevidade
5212907;Marzagão;Meia Ponte;GO;Centro-Oeste;222,43;2.250,00;803,2119;41.951,19;0,699;3.218,18;2.584.882,73;1.121,00;0,601;0,822
5212956;Matrinchã;Rio Vermelho;GO;Centro-Oeste;1.150,89;4.336,00;1.526,98;98.059,01;0,679;2.647,32;4.042.412,34;2.248,00;0,572;0,84
5213004;Maurilândia;Sudoeste de Goiás;GO;Centro-Oeste;389,76;14.327,00;4.610,77;226.101,99;0,677;3.511,16;16.189.137,57;5.129,00;0,554;0,823
5213053;Mimoso de Goiás;Entorno de Brasília;GO;Centro-Oeste;1.386,91;2.583,00;870,14243;57.223,56;0,665;2.492,41;2.168.751,03;1.363,00;0,543;0,825
5213087;Minaçu;Porangatu;GO;Centro-Oeste;2.860,73;28.793,00;9.399,92;1.034.924,68;0,707;2.983,95;28.048.930,73;12.190,00;0,637;0,803
5213103;Mineiros;Sudoeste de Goiás;GO;Centro-Oeste;9.060,10;68.154,00;21.401,15;2.567.590,55;0,718;4.245,28;90.853.809,95;44.007,00;0,584;0,84
5213400;Moiporá;Iporá;GO;Centro-Oeste;460,62;1.501,00;564,90657;34.914,80;0,696;2.602,41;1.470.120,18;1.043,00;0,632;0,818
5213509;Monte Alegre de Goiás;Chapada dos Veadeiros;GO;Centro-Oeste;3.119,80;8.684,00;2.550,29;82.243,42;0,615;2.043,47;5.211.448,91;3.082,00;0,481;0,816
5213707;Montes Claros de Goiás;Aragarças;GO;Centro-Oeste;2.899,18;8.047,00;2.881,05;293.741,29;0,707;3.229,17;9.303.393,65;5.001,00;0,622;0,806
5213756;Montividiu;Sudoeste de Goiás;GO;Centro-Oeste;1.874,15;13.672,00;4.433,37;780.259,15;0,733;4.160,03;18.442.933,83;7.247,00;0,644;0,827
5213772;Montividiu do Norte;Porangatu;GO;Centro-Oeste;1.332,99;4.509,00;1.412,81;69.768,73;0,613;1.841,78;2.602.086,44;1.836,00;0,488;0,816
5213806;Morrinhos;Meia Ponte;GO;Centro-Oeste;2.846,20;46.548,00;16.673,25;1.370.454,99;0,734;3.802,31;63.396.831,32;29.178,00;0,621;0,862
5213855;Morro Agudo de Goiás;Ceres;GO;Centro-Oeste;282,62;2.232,00;817,36408;38.965,22;0,695;2.578,10;2.107.243,68;1.966,00;0,63;0,826
5213905;Mossâmedes;Anicuns;GO;Centro-Oeste;684,45;4.206,00;1.538,89;78.295,00;0,706;2.907,07;4.473.655,10;2.791,00;0,623;0,811
5214002;Mozarlândia;São Miguel do Araguaia;GO;Centro-Oeste;1.734,36;15.870,00;5.312,55;528.865,18;0,683;3.379,89;17.955.835,32;10.851,00;0,565;0,825
5214051;Mundo Novo;São Miguel do Araguaia;GO;Centro-Oeste;2.146,65;4.713,00;1.654,23;96.767,61;0,634;2.563,79;4.241.101,61;2.686,00;0,488;0,812
